District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Area and size class of locality,Indicators,Value
Bara,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Number of localities,4
Bara,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Number of household,20255
Bara,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Male,57028
Bara,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Female,54223
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,13
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,18313
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Male,47756
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Female,52087
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,16
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,45086
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Male,106827
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Female,118706
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,2
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,8547
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Male,21098
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Female,22870
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of localities,1
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of household,11230
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Male,29399
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Female,27833
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,1
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,1033
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Male,2307
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Female,2483
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,11
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,15810
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Male,36580
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Female,37022
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Number of localities,4
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Number of household,13801
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Male,29809
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Female,28650
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  50,000 - 99,999",Number of localities,2
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  50,000 - 99,999",Number of household,37992
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  50,000 - 99,999",Male,86188
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,"  50,000 - 99,999",Female,81612
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Number of localities,12
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Number of household,4058
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Male,9070
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Female,10162
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of localities,29
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of household,15644
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Male,33945
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Female,38692
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Number of localities,14
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Number of household,10457
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Male,22705
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Female,25666
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Number of localities,4
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Number of household,3517
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Male,8298
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Female,9197
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Number of localities,4
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Number of household,5743
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Male,12035
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Female,12689
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of localities,2
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of household,1596
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Male,3682
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Female,4007
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,2
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,1786
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Male,4764
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Female,5017
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,13
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,21035
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Male,45644
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Female,51589
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of localities,18
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of household,55431
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Male,118066
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Female,131030
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Number of localities,2
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Number of household,15627
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Male,32726
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  20,000 - 49,999",Female,35682
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  100,000 - 299,999",Number of localities,1
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  100,000 - 299,999",Number of household,36987
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  100,000 - 299,999",Male,74205
Chitawan,Narayani,Terai,Central,2068/69,2011/12,"  100,000 - 299,999",Female,73572
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,3
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,1502
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,3343
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,3992
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,6
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,4339
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,9469
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,12122
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,4
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,3741
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,8226
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,10104
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,4
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,4297
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,11279
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,12827
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,2
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,4651
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Male,12890
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Female,13930
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,2
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,8515
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Male,21349
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Female,22563
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,1
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,334
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Male,852
