District,Zone,Geographical Region,Development Region,Year AD,Year BS,Manufacturing Company Type,No of establishment,No of persons engaged,No of employees,"Wages, Salaries and other benefits(In thousand)"
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,1,,,
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,1,,,
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,8,138,127,2901
Surkhet,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,3,37,31,1481
Jajarkot,Bheri,Hill,Mid-Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,2,,,
Dolpa,Karnali,Mountain,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,1,,,
Jumla,Karnali,Mountain,Mid-Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",1,,,
Jumla,Karnali,Mountain,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,3,,,
Kalikot,Karnali,Mountain,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,2,,,
Mugu,Karnali,Mountain,Mid-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.,1,,,
Bajura,Seti,Mountain,Far-Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,1,,,
Bajhang,Seti,Mountain,Far-Western,2006/07,2063/64,Manuf. Of Paper And Paper Products,1,,,
Achham,Seti,Hill,Far-Western,2006/07,2063/64,Manuf. Of Basic Metals,1,,,
Achham,Seti,Hill,Far-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,2,,,
Doti,Seti,Hill,Far-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,2,,,
Doti,Seti,Hill,Far-Western,2006/07,2063/64,Manuf. Of Textiles,1,,,
Doti,Seti,Hill,Far-Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",1,,,
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,33,850,785,18853
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Textiles,3,44,30,980
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,19,257,224,5518
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",4,53,43,2297
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,2,,,
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,31,2662,2604,33411
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Basic Metals,1,,,
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",6,49,41,2261
Kailali,Seti,Terai,Far-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,8,134,118,4758
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Food Products And Beverages,32,471,337,6116
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Textiles,4,31,18,265
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,2,,,
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,7,133,119,3283
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",4,43,25,1068
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,29,1330,1266,26541
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Motor Vehicles; Trailers And Semi-Trailers,2,,,
Kanchanpur,Mahakali,Terai,Far-Western,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,6,62,44,1034
Taplejung,Mechi,Mountain,Eastern,2011/12,2068/69, Manufacture of paper and paper products ,3,35,29,"2,530"
Taplejung,Mechi,Mountain,Eastern,2011/12,2068/69,Manufacture of furniture,3,32,27,"3,770"
Panchthar,Mechi,Hill,Eastern,2011/12,2068/69,Manufacture of food products,1,,,
Panchthar,Mechi,Hill,Eastern,2011/12,2068/69,Manufacture of textiles,2,,,
Panchthar,Mechi,Hill,Eastern,2011/12,2068/69,"Manufacture of wood and of products of wood and cork, except furniture",2,,,
Panchthar,Mechi,Hill,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,1,,,
Ilam,Mechi,Hill,Eastern,2011/12,2068/69,Manufacture of food products,10,531,504,"29,952"
Ilam,Mechi,Hill,Eastern,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,  except furniture",2,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of food products,68,"2,265","2,086","169,492"
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of beverages,3,33,26,"3,954"
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of tobacco products,1,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of leather and related products,1,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,"Manufacture of wood and of products of wood and cork, except furniture",,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Printing and reproduction of recorded media,9,221,198,"10,779"
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of chemicals and chemical products,3,48,39,"5,221"
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of rubber and plastics products,1,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,27,"1,721","1,654","102,866"
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",2,,,
Jhapa,Mechi,Terai,Eastern,2011/12,2068/69,Manufacture of furniture,32,608,539,"45,138"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of food products,69,"1,934","1,790","203,077"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of beverages,7,303,291,"50,263"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of tobacco products,3,265,262,"37,558"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of textiles,11,"7,101","7,086","625,484"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of wearing apparel,2,,,
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of leather and related products,10,526,509,"37,690"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",31,469,411,"30,708"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of paper and paper products,9,281,270,"26,137"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Printing and reproduction of recorded media,7,212,188,"20,482"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of coke and refined petroleum products,2,,,
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of chemicals and chemical products,17,804,773,"75,176"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of rubber and plastics products,31,864,818,"80,300"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,16,"2,860","2,828","139,484"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of basic metals,5,937,929,"134,266"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",8,523,508,"59,878"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of electrical equipment,6,606,598,"69,394"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,2,,,
Morang,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of motor vehicles, trailers and semi-trailers",5,206,201,"16,860"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of furniture,12,142,118,"11,950"
Morang,Kosi,Terai,Eastern,2011/12,2068/69,Other manufacturing,2,,,
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of food products,98,"2,319","2,072","178,329"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of beverages,1,,,
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of textiles,8,"5,439","5,419","503,840"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of wearing apparel,2,,,
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of leather and related products,6,446,425,"34,712"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",25,705,635,"56,672"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of paper and paper products,10,591,563,"50,188"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of chemicals and chemical products,6,374,352,"34,172"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and botanical products",6,300,278,"31,789"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of rubber and plastics products,13,837,801,"35,042"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,20,"1,927","1,891","102,841"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of basic metals,4,227,214,"21,228"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",24,343,285,"26,430"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of electrical equipment,2,,,
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,1,,,
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Manufacture of furniture,17,183,130,"11,385"
Sunsari,Kosi,Terai,Eastern,2011/12,2068/69,Other manufacturing,3,37,29,"1,690"
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of food products,4,462,459,"23,946"
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of textiles,5,107,99,"2,996"
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,1,,,
Dhankuta,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of furniture,1,,,
Terhathum,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of textiles,6,207,194,"9,481"
Terhathum,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of paper and paper products,1,,,
Terhathum,Kosi,Hill,Eastern,2011/12,2068/69,Manufacture of other non-metallic mineral products,1,,,
