District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Indicator,Sub-Indicator,Value
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,Currently going to school,Male,96
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,Currently going to school,Female,161
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,Not currently going to school,Male,401
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,Not currently going to school,Female,1001
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,School attendence not Stated,Male,26
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,20 Year,School attendence not Stated,Female,31
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,Currently going to school,Male,50
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,Currently going to school,Female,112
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,Not currently going to school,Male,378
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,Not currently going to school,Female,1030
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,School attendence not Stated,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,21 Year,School attendence not Stated,Female,38
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,Currently going to school,Male,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,Currently going to school,Female,71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,Not currently going to school,Male,470
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,Not currently going to school,Female,1295
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,School attendence not Stated,Male,17
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,22 Year,School attendence not Stated,Female,63
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,Currently going to school,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,Currently going to school,Female,34
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,Not currently going to school,Male,399
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,Not currently going to school,Female,1125
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,School attendence not Stated,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,23 Year,School attendence not Stated,Female,45
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,Currently going to school,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,Currently going to school,Female,42
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,Not currently going to school,Male,450
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,Not currently going to school,Female,1112
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,School attendence not Stated,Male,18
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,24 Year,School attendence not Stated,Female,54
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,Currently going to school,Male,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,Currently going to school,Female,30
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,Not currently going to school,Male,578
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,Not currently going to school,Female,1563
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,School attendence not Stated,Male,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,25 Year,School attendence not Stated,Female,65
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,Currently going to school,Male,2328
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,Currently going to school,Female,2157
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,Not currently going to school,Male,916
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,Not currently going to school,Female,870
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,School attendence not Stated,Male,131
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,05 Year,School attendence not Stated,Female,160
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,Currently going to school,Male,2580
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,Currently going to school,Female,2529
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,Not currently going to school,Male,362
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,Not currently going to school,Female,384
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,School attendence not Stated,Male,84
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,06 Year,School attendence not Stated,Female,95
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,Currently going to school,Male,3075
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,Currently going to school,Female,3070
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,07 Year,Not currently going to school,Male,249
