District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
 Okhaldhunga,,,,,,   05 - 09 Years,  Male,Others,149
 Okhaldhunga,,,,,,   05 - 09 Years,  Male,Not stated,39
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Parents,10579
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Mother,1243
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Father,158
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Father and step mother,63
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Mother and step father,0
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Other relatives,71
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Employer,32
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Others,174
 Okhaldhunga,,,,,,   10 - 15 Years,  Male,Not stated,55
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Parents,1156
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Mother,72
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Father,8
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Other relatives,8
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Employer,0
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Others,8
 Okhaldhunga,,,,,,   Under 1 Year,  Female,Not stated,24
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Parents,4907
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Mother,579
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Father,16
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Father and step mother,0
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Other relatives,40
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Employer,0
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Others,40
 Okhaldhunga,,,,,,   01 - 04 Years,  Female,Not stated,24
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Parents,7582
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Mother,944
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Father,56
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Father and step mother,8
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Other relatives,56
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Employer,0
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Others,120
 Okhaldhunga,,,,,,   05 - 09 Years,  Female,Not stated,8
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Parents,11072
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Mother,1126
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Father,145
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Father and step mother,16
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Other relatives,80
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Employer,8
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Others,338
 Okhaldhunga,,,,,,   10 - 15 Years,  Female,Not stated,72
 Khotang,,,,,,   Under 1 Year,  Male,Parents,1768
 Khotang,,,,,,   Under 1 Year,  Male,Mother,134
 Khotang,,,,,,   Under 1 Year,  Male,Father,0
 Khotang,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Khotang,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Khotang,,,,,,   Under 1 Year,  Male,Other relatives,0
 Khotang,,,,,,   Under 1 Year,  Male,Employer,0
 Khotang,,,,,,   Under 1 Year,  Male,Others,8
 Khotang,,,,,,   Under 1 Year,  Male,Not stated,55
 Khotang,,,,,,   01 - 04 Years,  Male,Parents,7392
 Khotang,,,,,,   01 - 04 Years,  Male,Mother,752
 Khotang,,,,,,   01 - 04 Years,  Male,Father,16
 Khotang,,,,,,   01 - 04 Years,  Male,Father and step mother,8
 Khotang,,,,,,   01 - 04 Years,  Male,Mother and step father,8
 Khotang,,,,,,   01 - 04 Years,  Male,Other relatives,16
 Khotang,,,,,,   01 - 04 Years,  Male,Employer,0
 Khotang,,,,,,   01 - 04 Years,  Male,Others,147
 Khotang,,,,,,   01 - 04 Years,  Male,Not stated,90
 Khotang,,,,,,   05 - 09 Years,  Male,Parents,11562
 Khotang,,,,,,   05 - 09 Years,  Male,Mother,1176
 Khotang,,,,,,   05 - 09 Years,  Male,Father,82
 Khotang,,,,,,   05 - 09 Years,  Male,Father and step mother,41
 Khotang,,,,,,   05 - 09 Years,  Male,Mother and step father,16
 Khotang,,,,,,   05 - 09 Years,  Male,Other relatives,41
 Khotang,,,,,,   05 - 09 Years,  Male,Employer,8
 Khotang,,,,,,   05 - 09 Years,  Male,Others,214
 Khotang,,,,,,   05 - 09 Years,  Male,Not stated,107
 Khotang,,,,,,   10 - 15 Years,  Male,Parents,14960
 Khotang,,,,,,   10 - 15 Years,  Male,Mother,1702
 Khotang,,,,,,   10 - 15 Years,  Male,Father,252
 Khotang,,,,,,   10 - 15 Years,  Male,Father and step mother,102
 Khotang,,,,,,   10 - 15 Years,  Male,Mother and step father,8
 Khotang,,,,,,   10 - 15 Years,  Male,Other relatives,87
 Khotang,,,,,,   10 - 15 Years,  Male,Employer,32
 Khotang,,,,,,   10 - 15 Years,  Male,Others,339
 Khotang,,,,,,   10 - 15 Years,  Male,Not stated,142
 Khotang,,,,,,   Under 1 Year,  Female,Parents,1776
 Khotang,,,,,,   Under 1 Year,  Female,Mother,142
 Khotang,,,,,,   Under 1 Year,  Female,Father,16
 Khotang,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Khotang,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Khotang,,,,,,   Under 1 Year,  Female,Other relatives,0
 Khotang,,,,,,   Under 1 Year,  Female,Employer,0
 Khotang,,,,,,   Under 1 Year,  Female,Others,16
 Khotang,,,,,,   Under 1 Year,  Female,Not stated,8
 Khotang,,,,,,   01 - 04 Years,  Female,Parents,7106
 Khotang,,,,,,   01 - 04 Years,  Female,Mother,859
 Khotang,,,,,,   01 - 04 Years,  Female,Father,32
 Khotang,,,,,,   01 - 04 Years,  Female,Father and step mother,24
 Khotang,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Khotang,,,,,,   01 - 04 Years,  Female,Other relatives,8
 Khotang,,,,,,   01 - 04 Years,  Female,Employer,0
 Khotang,,,,,,   01 - 04 Years,  Female,Others,181
 Khotang,,,,,,   01 - 04 Years,  Female,Not stated,39
 Khotang,,,,,,   05 - 09 Years,  Female,Parents,11727
 Khotang,,,,,,   05 - 09 Years,  Female,Mother,1421
 Khotang,,,,,,   05 - 09 Years,  Female,Father,102
 Khotang,,,,,,   05 - 09 Years,  Female,Father and step mother,62
 Khotang,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Khotang,,,,,,   05 - 09 Years,  Female,Other relatives,55
 Khotang,,,,,,   05 - 09 Years,  Female,Employer,0
 Khotang,,,,,,   05 - 09 Years,  Female,Others,258
 Khotang,,,,,,   05 - 09 Years,  Female,Not stated,62
 Khotang,,,,,,   10 - 15 Years,  Female,Parents,14901
 Khotang,,,,,,   10 - 15 Years,  Female,Mother,1602
 Khotang,,,,,,   10 - 15 Years,  Female,Father,319
 Khotang,,,,,,   10 - 15 Years,  Female,Father and step mother,156
 Khotang,,,,,,   10 - 15 Years,  Female,Mother and step father,8
 Khotang,,,,,,   10 - 15 Years,  Female,Other relatives,117
 Khotang,,,,,,   10 - 15 Years,  Female,Employer,16
 Khotang,,,,,,   10 - 15 Years,  Female,Others,397
 Khotang,,,,,,   10 - 15 Years,  Female,Not stated,148
 Udayapur,,,,,,   Under 1 Year,  Male,Parents,2964
 Udayapur,,,,,,   Under 1 Year,  Male,Mother,175
 Udayapur,,,,,,   Under 1 Year,  Male,Father,8
 Udayapur,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Udayapur,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Udayapur,,,,,,   Under 1 Year,  Male,Other relatives,0
 Udayapur,,,,,,   Under 1 Year,  Male,Employer,0
 Udayapur,,,,,,   Under 1 Year,  Male,Others,0
 Udayapur,,,,,,   Under 1 Year,  Male,Not stated,8
 Udayapur,,,,,,   01 - 04 Years,  Male,Parents,11515
 Udayapur,,,,,,   01 - 04 Years,  Male,Mother,1050
 Udayapur,,,,,,   01 - 04 Years,  Male,Father,23
 Udayapur,,,,,,   01 - 04 Years,  Male,Father and step mother,15
 Udayapur,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Udayapur,,,,,,   01 - 04 Years,  Male,Other relatives,39
 Udayapur,,,,,,   01 - 04 Years,  Male,Employer,0
 Udayapur,,,,,,   01 - 04 Years,  Male,Others,162
 Udayapur,,,,,,   01 - 04 Years,  Male,Not stated,0
 Udayapur,,,,,,   05 - 09 Years,  Male,Parents,18237
 Udayapur,,,,,,   05 - 09 Years,  Male,Mother,1860
 Udayapur,,,,,,   05 - 09 Years,  Male,Father,154
 Udayapur,,,,,,   05 - 09 Years,  Male,Father and step mother,89
 Udayapur,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Udayapur,,,,,,   05 - 09 Years,  Male,Other relatives,105
 Udayapur,,,,,,   05 - 09 Years,  Male,Employer,0
 Udayapur,,,,,,   05 - 09 Years,  Male,Others,428
 Udayapur,,,,,,   05 - 09 Years,  Male,Not stated,32
 Udayapur,,,,,,   10 - 15 Years,  Male,Parents,23051
 Udayapur,,,,,,   10 - 15 Years,  Male,Mother,2829
 Udayapur,,,,,,   10 - 15 Years,  Male,Father,352
 Udayapur,,,,,,   10 - 15 Years,  Male,Father and step mother,98
 Udayapur,,,,,,   10 - 15 Years,  Male,Mother and step father,57
 Udayapur,,,,,,   10 - 15 Years,  Male,Other relatives,261
 Udayapur,,,,,,   10 - 15 Years,  Male,Employer,49
 Udayapur,,,,,,   10 - 15 Years,  Male,Others,785
 Udayapur,,,,,,   10 - 15 Years,  Male,Not stated,49
 Udayapur,,,,,,   Under 1 Year,  Female,Parents,2797
 Udayapur,,,,,,   Under 1 Year,  Female,Mother,200
 Udayapur,,,,,,   Under 1 Year,  Female,Father,0
 Udayapur,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Udayapur,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Udayapur,,,,,,   Under 1 Year,  Female,Other relatives,0
 Udayapur,,,,,,   Under 1 Year,  Female,Employer,0
 Udayapur,,,,,,   Under 1 Year,  Female,Others,8
 Udayapur,,,,,,   Under 1 Year,  Female,Not stated,24
 Udayapur,,,,,,   01 - 04 Years,  Female,Parents,11325
 Udayapur,,,,,,   01 - 04 Years,  Female,Mother,943
 Udayapur,,,,,,   01 - 04 Years,  Female,Father,31
 Udayapur,,,,,,   01 - 04 Years,  Female,Father and step mother,15
 Udayapur,,,,,,   01 - 04 Years,  Female,Mother and step father,8
 Udayapur,,,,,,   01 - 04 Years,  Female,Other relatives,39
 Udayapur,,,,,,   01 - 04 Years,  Female,Employer,0
 Udayapur,,,,,,   01 - 04 Years,  Female,Others,100
 Udayapur,,,,,,   01 - 04 Years,  Female,Not stated,15
 Udayapur,,,,,,   05 - 09 Years,  Female,Parents,17364
 Udayapur,,,,,,   05 - 09 Years,  Female,Mother,1722
 Udayapur,,,,,,   05 - 09 Years,  Female,Father,141
 Udayapur,,,,,,   05 - 09 Years,  Female,Father and step mother,40
 Udayapur,,,,,,   05 - 09 Years,  Female,Mother and step father,41
 Udayapur,,,,,,   05 - 09 Years,  Female,Other relatives,184
 Udayapur,,,,,,   05 - 09 Years,  Female,Employer,0
 Udayapur,,,,,,   05 - 09 Years,  Female,Others,501
 Udayapur,,,,,,   05 - 09 Years,  Female,Not stated,8
 Udayapur,,,,,,   10 - 15 Years,  Female,Parents,22983
 Udayapur,,,,,,   10 - 15 Years,  Female,Mother,2354
 Udayapur,,,,,,   10 - 15 Years,  Female,Father,253
 Udayapur,,,,,,   10 - 15 Years,  Female,Father and step mother,148
 Udayapur,,,,,,   10 - 15 Years,  Female,Mother and step father,58
 Udayapur,,,,,,   10 - 15 Years,  Female,Other relatives,344
 Udayapur,,,,,,   10 - 15 Years,  Female,Employer,8
 Udayapur,,,,,,   10 - 15 Years,  Female,Others,879
 Udayapur,,,,,,   10 - 15 Years,  Female,Not stated,81
 Saptari,,,,,,   Under 1 Year,  Male,Parents,5398
 Saptari,,,,,,   Under 1 Year,  Male,Mother,221
 Saptari,,,,,,   Under 1 Year,  Male,Father,16
 Saptari,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Saptari,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Saptari,,,,,,   Under 1 Year,  Male,Other relatives,0
 Saptari,,,,,,   Under 1 Year,  Male,Employer,0
 Saptari,,,,,,   Under 1 Year,  Male,Others,5
 Saptari,,,,,,   Under 1 Year,  Male,Not stated,60
 Saptari,,,,,,   01 - 04 Years,  Male,Parents,24563
 Saptari,,,,,,   01 - 04 Years,  Male,Mother,1536
 Saptari,,,,,,   01 - 04 Years,  Male,Father,36
 Saptari,,,,,,   01 - 04 Years,  Male,Father and step mother,17
 Saptari,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Saptari,,,,,,   01 - 04 Years,  Male,Other relatives,17
 Saptari,,,,,,   01 - 04 Years,  Male,Employer,0
 Saptari,,,,,,   01 - 04 Years,  Male,Others,82
 Saptari,,,,,,   01 - 04 Years,  Male,Not stated,430
 Saptari,,,,,,   05 - 09 Years,  Male,Parents,40259
 Saptari,,,,,,   05 - 09 Years,  Male,Mother,2767
 Saptari,,,,,,   05 - 09 Years,  Male,Father,182
 Saptari,,,,,,   05 - 09 Years,  Male,Father and step mother,58
 Saptari,,,,,,   05 - 09 Years,  Male,Mother and step father,0
 Saptari,,,,,,   05 - 09 Years,  Male,Other relatives,93
 Saptari,,,,,,   05 - 09 Years,  Male,Employer,1
 Saptari,,,,,,   05 - 09 Years,  Male,Others,285
 Saptari,,,,,,   05 - 09 Years,  Male,Not stated,439
 Saptari,,,,,,   10 - 15 Years,  Male,Parents,43599
 Saptari,,,,,,   10 - 15 Years,  Male,Mother,3711
 Saptari,,,,,,   10 - 15 Years,  Male,Father,379
 Saptari,,,,,,   10 - 15 Years,  Male,Father and step mother,85
 Saptari,,,,,,   10 - 15 Years,  Male,Mother and step father,24
 Saptari,,,,,,   10 - 15 Years,  Male,Other relatives,105
 Saptari,,,,,,   10 - 15 Years,  Male,Employer,26
 Saptari,,,,,,   10 - 15 Years,  Male,Others,760
 Saptari,,,,,,   10 - 15 Years,  Male,Not stated,488
 Saptari,,,,,,   Under 1 Year,  Female,Parents,4699
 Saptari,,,,,,   Under 1 Year,  Female,Mother,291
 Saptari,,,,,,   Under 1 Year,  Female,Father,0
 Saptari,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Saptari,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Saptari,,,,,,   Under 1 Year,  Female,Other relatives,8
 Saptari,,,,,,   Under 1 Year,  Female,Employer,0
 Saptari,,,,,,   Under 1 Year,  Female,Others,13
 Saptari,,,,,,   Under 1 Year,  Female,Not stated,141
 Saptari,,,,,,   01 - 04 Years,  Female,Parents,23776
 Saptari,,,,,,   01 - 04 Years,  Female,Mother,1419
 Saptari,,,,,,   01 - 04 Years,  Female,Father,14
 Saptari,,,,,,   01 - 04 Years,  Female,Father and step mother,16
 Saptari,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Saptari,,,,,,   01 - 04 Years,  Female,Other relatives,90
 Saptari,,,,,,   01 - 04 Years,  Female,Employer,0
 Saptari,,,,,,   01 - 04 Years,  Female,Others,119
 Saptari,,,,,,   01 - 04 Years,  Female,Not stated,288
 Saptari,,,,,,   05 - 09 Years,  Female,Parents,38307
 Saptari,,,,,,   05 - 09 Years,  Female,Mother,2769
 Saptari,,,,,,   05 - 09 Years,  Female,Father,111
 Saptari,,,,,,   05 - 09 Years,  Female,Father and step mother,24
 Saptari,,,,,,   05 - 09 Years,  Female,Mother and step father,8
 Saptari,,,,,,   05 - 09 Years,  Female,Other relatives,78
 Saptari,,,,,,   05 - 09 Years,  Female,Employer,0
 Saptari,,,,,,   05 - 09 Years,  Female,Others,254
 Saptari,,,,,,   05 - 09 Years,  Female,Not stated,401
 Saptari,,,,,,   10 - 15 Years,  Female,Parents,43373
 Saptari,,,,,,   10 - 15 Years,  Female,Mother,4068
 Saptari,,,,,,   10 - 15 Years,  Female,Father,226
 Saptari,,,,,,   10 - 15 Years,  Female,Father and step mother,112
 Saptari,,,,,,   10 - 15 Years,  Female,Mother and step father,0
 Saptari,,,,,,   10 - 15 Years,  Female,Other relatives,159
 Saptari,,,,,,   10 - 15 Years,  Female,Employer,19
 Saptari,,,,,,   10 - 15 Years,  Female,Others,419
 Saptari,,,,,,   10 - 15 Years,  Female,Not stated,689
 Siraha,,,,,,   Under 1 Year,  Male,Parents,5527
 Siraha,,,,,,   Under 1 Year,  Male,Mother,458
 Siraha,,,,,,   Under 1 Year,  Male,Father,0
 Siraha,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Siraha,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Siraha,,,,,,   Under 1 Year,  Male,Other relatives,1
 Siraha,,,,,,   Under 1 Year,  Male,Employer,0
 Siraha,,,,,,   Under 1 Year,  Male,Others,0
 Siraha,,,,,,   Under 1 Year,  Male,Not stated,91
 Siraha,,,,,,   01 - 04 Years,  Male,Parents,26516
 Siraha,,,,,,   01 - 04 Years,  Male,Mother,2353
 Siraha,,,,,,   01 - 04 Years,  Male,Father,99
 Siraha,,,,,,   01 - 04 Years,  Male,Father and step mother,8
 Siraha,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Siraha,,,,,,   01 - 04 Years,  Male,Other relatives,44
 Siraha,,,,,,   01 - 04 Years,  Male,Employer,0
 Siraha,,,,,,   01 - 04 Years,  Male,Others,51
 Siraha,,,,,,   01 - 04 Years,  Male,Not stated,182
 Siraha,,,,,,   05 - 09 Years,  Male,Parents,40355
 Siraha,,,,,,   05 - 09 Years,  Male,Mother,3719
 Siraha,,,,,,   05 - 09 Years,  Male,Father,173
 Siraha,,,,,,   05 - 09 Years,  Male,Father and step mother,20
 Siraha,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Siraha,,,,,,   05 - 09 Years,  Male,Other relatives,97
 Siraha,,,,,,   05 - 09 Years,  Male,Employer,0
 Siraha,,,,,,   05 - 09 Years,  Male,Others,181
 Siraha,,,,,,   05 - 09 Years,  Male,Not stated,262
 Siraha,,,,,,   10 - 15 Years,  Male,Parents,47101
 Siraha,,,,,,   10 - 15 Years,  Male,Mother,4270
 Siraha,,,,,,   10 - 15 Years,  Male,Father,398
 Siraha,,,,,,   10 - 15 Years,  Male,Father and step mother,82
 Siraha,,,,,,   10 - 15 Years,  Male,Mother and step father,8
 Siraha,,,,,,   10 - 15 Years,  Male,Other relatives,101
 Siraha,,,,,,   10 - 15 Years,  Male,Employer,43
 Siraha,,,,,,   10 - 15 Years,  Male,Others,357
 Siraha,,,,,,   10 - 15 Years,  Male,Not stated,500
 Siraha,,,,,,   Under 1 Year,  Female,Parents,5088
 Siraha,,,,,,   Under 1 Year,  Female,Mother,438
 Siraha,,,,,,   Under 1 Year,  Female,Father,8
 Siraha,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Siraha,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Siraha,,,,,,   Under 1 Year,  Female,Other relatives,0
 Siraha,,,,,,   Under 1 Year,  Female,Employer,1
 Siraha,,,,,,   Under 1 Year,  Female,Others,1
 Siraha,,,,,,   Under 1 Year,  Female,Not stated,104
 Siraha,,,,,,   01 - 04 Years,  Female,Parents,25389
 Siraha,,,,,,   01 - 04 Years,  Female,Mother,2220
 Siraha,,,,,,   01 - 04 Years,  Female,Father,72
 Siraha,,,,,,   01 - 04 Years,  Female,Father and step mother,25
 Siraha,,,,,,   01 - 04 Years,  Female,Mother and step father,1
 Siraha,,,,,,   01 - 04 Years,  Female,Other relatives,33
 Siraha,,,,,,   01 - 04 Years,  Female,Employer,8
 Siraha,,,,,,   01 - 04 Years,  Female,Others,88
 Siraha,,,,,,   01 - 04 Years,  Female,Not stated,182
 Siraha,,,,,,   05 - 09 Years,  Female,Parents,38847
 Siraha,,,,,,   05 - 09 Years,  Female,Mother,3673
 Siraha,,,,,,   05 - 09 Years,  Female,Father,205
 Siraha,,,,,,   05 - 09 Years,  Female,Father and step mother,43
 Siraha,,,,,,   05 - 09 Years,  Female,Mother and step father,0
 Siraha,,,,,,   05 - 09 Years,  Female,Other relatives,92
 Siraha,,,,,,   05 - 09 Years,  Female,Employer,8
 Siraha,,,,,,   05 - 09 Years,  Female,Others,204
 Siraha,,,,,,   05 - 09 Years,  Female,Not stated,246
 Siraha,,,,,,   10 - 15 Years,  Female,Parents,43811
 Siraha,,,,,,   10 - 15 Years,  Female,Mother,4924
 Siraha,,,,,,   10 - 15 Years,  Female,Father,358
 Siraha,,,,,,   10 - 15 Years,  Female,Father and step mother,31
 Siraha,,,,,,   10 - 15 Years,  Female,Mother and step father,16
 Siraha,,,,,,   10 - 15 Years,  Female,Other relatives,100
 Siraha,,,,,,   10 - 15 Years,  Female,Employer,19
 Siraha,,,,,,   10 - 15 Years,  Female,Others,287
 Siraha,,,,,,   10 - 15 Years,  Female,Not stated,567
 Dhanusa,,,,,,   Under 1 Year,  Male,Parents,5807
 Dhanusa,,,,,,   Under 1 Year,  Male,Mother,627
 Dhanusa,,,,,,   Under 1 Year,  Male,Father,0
 Dhanusa,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Dhanusa,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Dhanusa,,,,,,   Under 1 Year,  Male,Other relatives,0
 Dhanusa,,,,,,   Under 1 Year,  Male,Employer,0
 Dhanusa,,,,,,   Under 1 Year,  Male,Others,16
 Dhanusa,,,,,,   Under 1 Year,  Male,Not stated,209
 Dhanusa,,,,,,   01 - 04 Years,  Male,Parents,28120
 Dhanusa,,,,,,   01 - 04 Years,  Male,Mother,2585
 Dhanusa,,,,,,   01 - 04 Years,  Male,Father,67
 Dhanusa,,,,,,   01 - 04 Years,  Male,Father and step mother,0
 Dhanusa,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Dhanusa,,,,,,   01 - 04 Years,  Male,Other relatives,16
 Dhanusa,,,,,,   01 - 04 Years,  Male,Employer,8
 Dhanusa,,,,,,   01 - 04 Years,  Male,Others,124
 Dhanusa,,,,,,   01 - 04 Years,  Male,Not stated,652
 Dhanusa,,,,,,   05 - 09 Years,  Male,Parents,44874
 Dhanusa,,,,,,   05 - 09 Years,  Male,Mother,4487
 Dhanusa,,,,,,   05 - 09 Years,  Male,Father,207
 Dhanusa,,,,,,   05 - 09 Years,  Male,Father and step mother,83
 Dhanusa,,,,,,   05 - 09 Years,  Male,Mother and step father,8
 Dhanusa,,,,,,   05 - 09 Years,  Male,Other relatives,16
 Dhanusa,,,,,,   05 - 09 Years,  Male,Employer,8
 Dhanusa,,,,,,   05 - 09 Years,  Male,Others,148
 Dhanusa,,,,,,   05 - 09 Years,  Male,Not stated,1297
 Dhanusa,,,,,,   10 - 15 Years,  Male,Parents,55459
 Dhanusa,,,,,,   10 - 15 Years,  Male,Mother,5574
 Dhanusa,,,,,,   10 - 15 Years,  Male,Father,407
 Dhanusa,,,,,,   10 - 15 Years,  Male,Father and step mother,64
 Dhanusa,,,,,,   10 - 15 Years,  Male,Mother and step father,24
 Dhanusa,,,,,,   10 - 15 Years,  Male,Other relatives,210
 Dhanusa,,,,,,   10 - 15 Years,  Male,Employer,40
 Dhanusa,,,,,,   10 - 15 Years,  Male,Others,332
 Dhanusa,,,,,,   10 - 15 Years,  Male,Not stated,1559
 Dhanusa,,,,,,   Under 1 Year,  Female,Parents,5630
 Dhanusa,,,,,,   Under 1 Year,  Female,Mother,458
 Dhanusa,,,,,,   Under 1 Year,  Female,Father,0
 Dhanusa,,,,,,   Under 1 Year,  Female,Father and step mother,0
 Dhanusa,,,,,,   Under 1 Year,  Female,Mother and step father,0
 Dhanusa,,,,,,   Under 1 Year,  Female,Other relatives,0
 Dhanusa,,,,,,   Under 1 Year,  Female,Employer,0
 Dhanusa,,,,,,   Under 1 Year,  Female,Others,7
 Dhanusa,,,,,,   Under 1 Year,  Female,Not stated,467
 Dhanusa,,,,,,   01 - 04 Years,  Female,Parents,26930
 Dhanusa,,,,,,   01 - 04 Years,  Female,Mother,2614
 Dhanusa,,,,,,   01 - 04 Years,  Female,Father,50
 Dhanusa,,,,,,   01 - 04 Years,  Female,Father and step mother,17
 Dhanusa,,,,,,   01 - 04 Years,  Female,Mother and step father,0
 Dhanusa,,,,,,   01 - 04 Years,  Female,Other relatives,0
 Dhanusa,,,,,,   01 - 04 Years,  Female,Employer,0
 Dhanusa,,,,,,   01 - 04 Years,  Female,Others,41
 Dhanusa,,,,,,   01 - 04 Years,  Female,Not stated,879
 Dhanusa,,,,,,   05 - 09 Years,  Female,Parents,42158
 Dhanusa,,,,,,   05 - 09 Years,  Female,Mother,4657
 Dhanusa,,,,,,   05 - 09 Years,  Female,Father,154
 Dhanusa,,,,,,   05 - 09 Years,  Female,Father and step mother,57
 Dhanusa,,,,,,   05 - 09 Years,  Female,Mother and step father,16
 Dhanusa,,,,,,   05 - 09 Years,  Female,Other relatives,63
 Dhanusa,,,,,,   05 - 09 Years,  Female,Employer,8
 Dhanusa,,,,,,   05 - 09 Years,  Female,Others,168
 Dhanusa,,,,,,   05 - 09 Years,  Female,Not stated,907
 Dhanusa,,,,,,   10 - 15 Years,  Female,Parents,50586
 Dhanusa,,,,,,   10 - 15 Years,  Female,Mother,5886
 Dhanusa,,,,,,   10 - 15 Years,  Female,Father,356
 Dhanusa,,,,,,   10 - 15 Years,  Female,Father and step mother,33
 Dhanusa,,,,,,   10 - 15 Years,  Female,Mother and step father,41
 Dhanusa,,,,,,   10 - 15 Years,  Female,Other relatives,167
 Dhanusa,,,,,,   10 - 15 Years,  Female,Employer,17
 Dhanusa,,,,,,   10 - 15 Years,  Female,Others,299
 Dhanusa,,,,,,   10 - 15 Years,  Female,Not stated,2230
 Mahottari,,,,,,   Under 1 Year,  Male,Parents,5697
 Mahottari,,,,,,   Under 1 Year,  Male,Mother,356
 Mahottari,,,,,,   Under 1 Year,  Male,Father,0
 Mahottari,,,,,,   Under 1 Year,  Male,Father and step mother,0
 Mahottari,,,,,,   Under 1 Year,  Male,Mother and step father,0
 Mahottari,,,,,,   Under 1 Year,  Male,Other relatives,0
 Mahottari,,,,,,   Under 1 Year,  Male,Employer,0
 Mahottari,,,,,,   Under 1 Year,  Male,Others,15
 Mahottari,,,,,,   Under 1 Year,  Male,Not stated,70
 Mahottari,,,,,,   01 - 04 Years,  Male,Parents,27742
 Mahottari,,,,,,   01 - 04 Years,  Male,Mother,1676
 Mahottari,,,,,,   01 - 04 Years,  Male,Father,24
 Mahottari,,,,,,   01 - 04 Years,  Male,Father and step mother,1
 Mahottari,,,,,,   01 - 04 Years,  Male,Mother and step father,0
 Mahottari,,,,,,   01 - 04 Years,  Male,Other relatives,10
 Mahottari,,,,,,   01 - 04 Years,  Male,Employer,0
 Mahottari,,,,,,   01 - 04 Years,  Male,Others,100
 Mahottari,,,,,,   01 - 04 Years,  Male,Not stated,296
 Mahottari,,,,,,   05 - 09 Years,  Male,Parents,41420
