District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,30 - 34 Years,Less than 1 year,8
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,30 - 34 Years,1-5 years,95
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,30 - 34 Years,6-10 years,55
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,30 - 34 Years,More than 10 years,47
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,30 - 34 Years,Length of stay not stated,32
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,35 - 39 Years,Less than 1 year,0
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,35 - 39 Years,1-5 years,86
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,35 - 39 Years,6-10 years,60
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,35 - 39 Years,More than 10 years,111
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,35 - 39 Years,Length of stay not stated,43
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,40 - 44 Years,Less than 1 year,8
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,40 - 44 Years,1-5 years,60
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,40 - 44 Years,6-10 years,60
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,40 - 44 Years,More than 10 years,128
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,40 - 44 Years,Length of stay not stated,23
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,45 - 49 Years,Less than 1 year,17
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,45 - 49 Years,1-5 years,51
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,45 - 49 Years,6-10 years,43
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,45 - 49 Years,More than 10 years,86
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Male,45 - 49 Years,Length of stay not stated,34
